# farm,Total area (ha),Area in production (ha)
1,1.20,0.80
2,20.00,20.00
3,8.00,8.00
4,5.60,5.60
5,38.00,38.00
6,5.00,4.50
7,1.00,0.80
8,1.00,1.00
9,3.00,3.00
10,1.00,1.00
11,0.35,0.35
12,5.00,5.00
13,4.00,4.00
14,4.00,4.00
15,0.70,0.70
16,11.20,11.20
17,1.00,1.00
18,1.00,1.00
19,0.50,0.50
20,4.00,4.00
21,8.00,7.00
22,1.40,0.50
23,4.00,3.00
24,15.00,1.40
25,1.00,1.00
26,1.00,1.00
27,5.00,3.00
28,1.00,0.60
29,2.00,2.00
30,2.00,2.00
31,2.80,2.80
32,4.00,3.00
33,0.50,0.40
34,2.00,2.00
35,0.74,0.74
36,1.00,1.00
37,3.00,1.50
38,6.00,5.00
39,1.00,1.00
40,2.00,2.00
41,1.00,1.00
42,1.00,1.00
43,1.00,1.00
44,2.00,2.00
45,6.00,6.00
46,3.00,3.00
47,2.00,2.00
48,2.00,2.00
49,3.00,3.00
50,4.00,4.00
51,5.00,5.00
52,3.00,3.00
53,6.00,6.00
54,13.00,12.00
55,4.00,4.00
56,4.50,4.50
57,0.70,0.70
58,4.50,4.00
59,21.00,22.00
60,6.00,6.00
61,35.00,25.00
62,15.00,15.00
63,14.00,13.00
64,3.00,3.00
65,2.00,2.00
66,2.10,2.10
67,4.30,4.00
68,0.60,0.60
69,3.00,3.00
70,2.00,2.00
71,2.00,1.40
72,2.00,2.00
73,5.00,5.00
74,0.60,0.60
75,0.60,0.60
76,4.00,4.00
77,4.90,4.90
78,25.00,20.00
79,2.00,1.00
80,0.28,0.28
81,1.00,1.00
82,2.00,1.50
83,5.00,4.00
84,1.75,1.75
85,1.06,1.00
86,4.00,3.50
87,2.00,2.00
88,4.90,4.50
89,11.00,9.00
90,1.00,0.70
91,25.00,6.00
92,1.80,1.70
93,25.00,25.00
94,0.40,0.30
95,2.80,2.80
96,2.40,2.00
97,8.00,8.00
98,8.00,8.00
99,3.00,3.00
100,4.90,4.60
101,1.60,1.60
102,28.00,25.00
103,4.50,4.50
104,2.80,2.77
105,3.80,3.50
106,0.80,0.80
107,0.33,0.20
108,1.40,1.40
109,0.60,0.30
110,10.00,10.00
111,10.00,10.00
112,13.00,13.00
113,1.00,1.00
114,3.50,2.80
115,3.50,2.80
116,2.00,2.00
117,45.00,25.00
118,41.00,38.00
119,1.00,1.00
120,1.40,1.40
121,1.50,0.70
122,11.00,11.00
123,2.05,1.00
124,2.00,1.00
125,3.00,2.00
126,0.30,0.30
127,2.10,2.10
128,0.70,0.70
129,4.00,4.00
130,8.00,7.00
131,93.00,90.00
132,0.15,0.15
133,19.00,17.00
134,1.00,1.00
135,1.40,1.20
136,3.00,3.00
137,1.00,1.00
138,0.80,0.80
139,3.00,3.00
140,2.00,1.00
141,2.00,1.40
142,24.00,24.00
143,7.00,7.00
144,25.00,20.00
145,14.00,10.00
146,70.00,70.00
147,10.00,10.00
148,1.00,1.00
149,1.00,1.00
150,1.00,0.40
151,4.00,4.00
152,6.00,6.00
153,9.00,9.00
154,1.00,1.00
155,26.00,26.00
156,10.00,7.00
157,7.00,7.00
158,5.00,5.00
159,13.00,13.00
160,2.00,1.50
161,1.20,0.60
162,2.50,2.00
163,30.00,30.00
164,1.00,1.00
165,3.00,3.00
166,0.70,0.70
167,0.10,0.10
168,1.00,1.00
169,6.00,6.00
170,15.00,15.00
171,2.00,2.00
172,1.00,1.00
173,3.00,1.50
174,95.25,88.00
