# Farm,Harvest Year 2015-2016,,,
,Volume (fanegas),,,
1,111.94,,,
2,2.55,,,
3,4.44,,,
4,0.00,,,
5,1.09,,,
6,6.25,,,
7,0.00,,,
8,50.94,,,
9,0.00,,,
10,0.00,,,
11,0.00,,,
12,17.81,,,
13,16.16,,,
14,0.00,,,
15,0.00,,,
16,106.44,,,
17,3.90,,,
18,40.50,,,
19,0.00,,,
20,0.00,,,
21,21.20,,,
22,33.19,,,
23,0.96,,,
24,6.98,,,
25,4.51,,,
26,13.65,,,
27,8.48,,,
28,7.13,,,
29,0.00,,,
30,23.81,,,
31,0.00,,,
32,6.04,,,
33,1.86,,,
34,30.25,,,
35,0.00,,,
36,45.23,,,
37,0.00,,,
38,590.53,,,
39,3.66,,,
40,0.00,,,
41,0.00,,,
42,22.70,,,
43,4.63,,,
44,6.70,,,
45,66.40,,,
46,35.06,,,
47,36.55,,,
48,0.00,,,
49,0.00,,,
50,25.16,,,
51,307.96,,,
52,0.00,,,
53,0.00,,,
54,49.54,,,
55,0.00,,,
56,0.28,,,
57,0.00,,,
58,1.44,,,
59,3.81,,,
60,0.00,,,
61,0.00,,,
62,32.73,,,
63,20.55,,,
64,0.00,,,
65,231.55,,,
66,0.00,,,
67,0.00,,,
68,394.66,,,
69,105.78,,,
70,0.00,,,
71,185.46,,,
72,10.53,,,
73,9.03,,,
74,18.31,,,
75,8.21,,,
76,0.00,,,
77,270.29,,,
78,0.00,,,
79,0.00,,,
80,8.76,,,
81,14.70,,,
82,16.14,,,
83,17.71,,,
84,41.00,,,
85,82.16,,,
86,63.33,,,
87,3.26,,,
88,0.00,,,
89,61.86,,,
90,1.09,,,
91,9.55,,,
92,2.76,,,
93,3.78,,,
94,0.00,,,
95,15.84,,,
96,5.78,,,
97,25.43,,,
98,225.50,,,
99,0.00,,,
100,528.93,,,
101,20.35,,,
102,0.00,,,
103,0.00,,,
104,1.36,,,
105,0.00,,,
106,26.95,,,
107,0.00,,,
108,0.00,,,
109,0.00,,,
110,68.74,,,
111,9.05,,,
112,0.00,,,
113,118.95,,,
114,80.95,,,
115,65.69,,,
116,3.43,,,
117,0.00,,,
118,0.68,,,
119,14.76,,,
120,0.00,,,
121,27.20,,,
122,35.68,,,
123,0.00,,,
124,55.96,,,
125,2.84,,,
126,0.00,,,
127,29.53,,,
128,5.58,,,
129,68.93,,,
130,33.76,,,
131,6.86,,,
132,58.40,,,
133,0.00,,,
134,0.00,,,
135,0.00,,,
136,7.85,,,
137,136.18,,,
138,16.36,,,
139,7.80,,,
140,11.68,,,
141,0.00,,,
142,0.00,,,
143,25.36,,,
144,0.00,,,
145,0.00,,,
146,0.00,,,
147,0.00,,,
148,0.00,,,
149,20.41,,,
150,2.40,,,
151,0.00,,,
152,44.13,,,
153,219.01,,,
154,114.88,,,
155,4.05,,,
156,71.14,,,
157,0.00,,,
158,28.00,,,
159,0.00,,,
160,7.73,,,
161,6.40,,,
162,9.48,,,
163,4.85,,,
164,9.66,,,
165,63.40,,,
166,0.00,,,
167,7.99,,,
168,4.21,,,
169,0.00,,,
170,25.91,,,
171,0.00,,,
172,0.00,,,
173,52.75,,,
174,34.49,,,
175,32.35,,,
176,3.38,,,
177,36.30,,,
178,1.25,,,
179,7.44,,,
180,0.00,,,
181,0.15,,,
182,23.58,,,
183,0.33,,,
184,0.00,,,
185,54.95,,,
186,44.44,,,
187,0.00,,,
188,0.00,,,
189,0.00,,,
190,0.00,,,
191,1.29,,,
192,48.80,,,
193,11.75,,,
194,56.41,,,
195,155.76,,,
196,10.73,,,
197,47.90,,,
198,0.00,,,
199,0.85,,,
200,7.31,,,
201,64.03,,,
202,0.80,,,
203,0.00,,,
204,0.00,,,
205,0.00,,,
206,43.69,,,
207,0.00,,,
208,99.71,,,
209,0.39,,,
210,0.00,,,
211,0.00,,,
212,0.00,,,
213,53.20,,,
214,1.13,,,
215,56.75,,,
216,31.30,,,
217,52.46,,,
218,0.00,,,
219,0.51,,,
220,23.79,,,
221,20.50,,,
222,14.19,,,
223,10.98,,,
224,0.00,,,
225,0.00,,,
226,0.00,,,
227,11.11,,,
228,3.35,,,
229,90.66,,,
230,0.00,,,
231,47.31,,,
232,1.04,,,
233,11.84,,,
234,14.68,,,
235,24.78,,,
236,0.00,,,
237,6.89,,,
238,2.48,,,
239,5.73,,,
240,8.24,,,
241,"1,542.29",,,
242,95.34,,,
243,7.19,,,
244,286.61,,,
245,63.69,,,
246,0.00,,,
247,0.00,,,
248,0.00,,,
249,26.93,,,
250,26.39,,,
251,0.00,,,
252,101.20,,,
253,337.93,,,
254,0.00,,,
255,3.75,,,
256,0.00,,,
257,56.61,,,
258,45.01,,,
259,0.00,,,
260,0.00,,,
261,21.93,,,
262,84.53,,,
263,0.00,,,
264,10.08,,,
265,49.94,,,
266,630.24,,,
267,0.00,,,
268,0.00,,,
269,153.93,,,
270,0.00,,,
271,0.69,,,
272,5.75,,,
273,0.00,,,
274,18.89,,,
275,304.76,,,
276,50.08,,,
277,13.49,,,
278,129.30,,,
279,67.10,,,
280,2.90,,,
281,254.65,,,
282,17.71,,,
283,0.00,,,
284,22.35,,,
285,0.00,,,
286,77.49,,,
287,0.00,,,
288,21.75,,,
289,118.50,,,
290,0.00,,,
291,0.33,,,
292,99.08,,,
293,0.00,,,
294,105.20,,,
295,0.00,,,
296,12.25,,,
297,10.71,,,
298,16.16,,,
299,0.00,,,
300,24.38,,,
301,0.00,,,
302,33.59,,,
303,8.45,,,
304,0.00,,,
305,0.00,,,
306,0.71,,,
307,9.48,,,
308,26.86,,,
309,0.00,,,
310,9.93,,,
311,110.86,,,
312,180.74,,,
313,0.00,,,
314,24.40,,,
315,0.00,,,
316,0.00,,,
317,44.69,,,
318,2.91,,,
319,10.24,,,
320,0.00,,,
321,0.00,,,
322,14.23,,,
323,0.00,,,
324,0.00,,,
325,109.54,,,
326,176.13,,,
327,531.91,,,
328,49.23,,,
329,0.00,,,
330,0.00,,,
331,244.76,,,
332,0.00,,,
333,299.36,,,
334,140.30,,,
335,0.00,,,
336,0.00,,,
337,0.00,,,
338,36.74,,,
339,38.24,,,
340,0.00,,,
341,0.00,,,
342,52.95,,,
343,121.89,,,
344,0.00,,,
345,6.91,,,
346,0.00,,,
347,74.03,,,
348,8.80,,,
349,9.44,,,
350,10.16,,,
351,2.09,,,
352,16.75,,,
353,0.00,,,
354,0.00,,,
355,0.61,,,
356,28.90,,,
357,0.00,,,
358,141.15,,,
359,0.00,,,
360,1.75,,,
361,0.64,,,
362,57.81,,,
363,6.25,,,
364,0.00,,,
365,0.46,,,
366,4.59,,,
367,0.00,,,
368,10.78,,,
369,0.00,,,
370,186.70,,,
371,0.00,,,
372,6.00,,,
373,165.83,,,
374,8.40,,,
375,4.96,,,
376,9.19,,,
377,5.10,,,
378,0.08,,,
379,0.00,,,
380,11.01,,,
381,1.13,,,
382,25.50,,,
383,0.00,,,
384,0.00,,,
385,0.00,,,
386,5.26,,,
387,0.00,,,
388,15.04,,,
389,0.00,,,
390,107.83,,,
391,46.45,,,
392,0.00,,,
393,0.00,,,
394,1.23,,,
395,0.00,,,
396,0.00,,,
397,0.00,,,
398,0.00,,,
399,0.00,,,
400,378.18,,,
401,228.21,,,
402,55.76,,,
403,86.45,,,
404,53.55,,,
405,58.33,,,
406,0.00,,,
407,12.33,,,
408,12.45,,,
409,316.00,,,
410,7.69,,,
411,22.64,,,
412,0.00,,,
413,41.93,,,
414,8.33,,,
415,82.21,,,
416,77.73,,,
417,11.50,,,
418,0.51,,,
419,1.55,,,
420,0.00,,,
421,0.00,,,
422,4.56,,,
423,38.06,,,
424,49.76,,,
425,27.03,,,
426,29.05,,,
427,4.54,,,
428,167.31,,,
429,12.36,,,
430,22.25,,,
431,0.00,,,
432,5.75,,,
433,5.84,,,
434,0.69,,,
435,42.28,,,
436,28.11,,,
437,12.04,,,
438,20.60,,,
439,25.25,,,
440,19.46,,,
441,0.00,,,
442,42.58,,,
443,80.04,,,
444,39.03,,,
445,19.39,,,
446,8.94,,,
447,15.28,,,
448,73.51,,,
449,23.39,,,
450,5.36,,,
451,34.86,,,
452,35.18,,,
453,110.28,,,
454,38.68,,,
455,0.00,,,
456,0.00,,,
457,228.99,,,
458,0.00,,,
459,8.35,,,
460,66.06,,,
461,13.36,,,
462,2.13,,,
463,17.38,,,
464,3.71,,,
465,0.29,,,
466,14.95,,,
467,0.00,,,
468,42.20,,,
469,6.71,,,
470,3.69,,,
471,4.18,,,
472,33.56,,,
473,0.00,,,
474,116.20,,,
475,31.41,,,
476,8.23,,,
477,22.46,,,
478,26.43,,,
479,0.18,,,
480,0.00,,,
481,0.00,,,
482,138.25,,,
483,12.34,,,
484,2.76,,,
485,0.00,,,
486,16.11,,,
487,57.26,,,
488,23.31,,,
489,0.00,,,
490,14.13,,,
491,0.00,,,
492,439.11,,,
493,19.45,,,
494,10.71,,,
495,35.78,,,
496,960.69,,,
497,3.93,,,
498,536.80,,,
499,56.44,,,
500,194.13,,,
501,360.40,,,
502,11.05,,,
503,91.20,,,
504,8.38,,,
505,10.26,,,
506,0.00,,,
507,6.43,,,
508,0.89,,,
509,65.16,,,
510,88.31,,,
511,6.46,,,
512,0.00,,,
513,0.00,,,
514,131.38,,,
515,0.00,,,
516,124.66,,,
517,0.10,,,
518,0.00,,,
519,0.00,,,
520,0.00,,,
521,0.00,,,
522,19.55,,,
523,0.00,,,
524,0.00,,,
525,8.16,,,
526,0.00,,,
527,141.15,,,
528,4.64,,,
529,246.14,,,
530,0.00,,,
531,7.88,,,
532,50.73,,,
533,31.31,,,
534,16.26,,,
535,19.24,,,
536,4.00,,,
537,0.00,,,
538,0.00,,,
539,1.50,,,
540,6.29,,,
541,9.30,,,
542,57.53,,,
543,51.11,,,
544,73.00,,,
545,14.58,,,
546,0.00,,,
547,50.84,,,
548,0.00,,,
549,0.00,,,
550,18.48,,,
551,44.45,,,
552,36.78,,,
553,0.00,,,
554,352.40,,,
555,0.00,,,
556,0.00,,,
557,36.93,,,
558,38.99,,,
559,8.68,,,
560,46.31,,,
561,4.40,,,
562,0.00,,,
563,19.79,,,
564,68.18,,,
565,63.96,,,
566,0.00,,,
567,1.09,,,
568,0.00,,,
569,0.05,,,
570,11.40,,,
571,4.25,,,
572,329.26,,,
573,19.74,,,
574,48.13,,,
575,1.90,,,
576,0.63,,,
577,30.66,,,
578,2.46,,,
579,336.65,,,
580,92.33,,,
581,20.55,,,
582,27.19,,,
583,19.04,,,
584,0.00,,,
585,0.00,,,
586,27.50,,,
587,31.78,,,
588,3.31,,,
589,0.94,,,
590,0.00,,,
591,0.00,,,
592,18.24,,,
593,108.44,,,
594,15.05,,,
595,0.00,,,
596,0.00,,,
597,1.13,,,
598,0.50,,,
599,22.44,,,
600,0.00,,,
601,0.00,,,
602,74.18,,,
603,1.94,,,
604,5.61,,,
605,92.20,,,
606,165.88,,,
607,18.79,,,
608,272.40,,,
609,1.44,,,
610,110.96,,,
611,1.86,,,
612,24.38,,,
613,0.00,,,
614,10.90,,,
615,12.88,,,
616,0.00,,,
617,37.96,,,
618,73.40,,,
619,19.68,,,
620,128.70,,,
621,524.70,,,
622,267.29,,,
623,0.00,,,
624,0.00,,,
625,55.03,,,
626,0.00,,,
627,10.48,,,
628,5.84,,,
629,21.01,,,
630,0.00,,,
631,253.35,,,
632,0.00,,,
633,1.30,,,
634,0.58,,,
635,25.26,,,
636,0.41,,,
637,207.59,,,
638,14.84,,,
639,52.44,,,
640,41.56,,,
641,0.73,,,
642,64.10,,,
643,1.50,,,
644,4.64,,,
645,266.10,,,
646,91.89,,,
647,1.13,,,
648,38.18,,,
649,0.00,,,
650,0.00,,,
651,142.98,,,
652,11.73,,,
653,0.00,,,
654,34.90,,,
655,0.00,,,
656,95.89,,,
657,14.30,,,
658,23.85,,,
659,0.71,,,
660,52.13,,,
661,0.15,,,
662,108.95,,,
663,9.96,,,
664,1.73,,,
665,13.09,,,
666,57.06,,,
667,53.04,,,
668,24.90,,,
669,78.99,,,
670,44.94,,,
671,71.55,,,
672,52.23,,,
673,63.89,,,
674,1.81,,,
675,0.00,,,
676,0.00,,,
677,56.75,,,
678,17.74,,,
679,1.28,,,
680,57.03,,,
681,77.99,,,
682,41.76,,,
683,45.81,,,
684,80.96,,,
685,93.09,,,
686,47.16,,,
687,0.15,,,
688,3.83,,,
689,2.45,,,
690,13.76,,,
691,0.00,,,
692,337.83,,,
693,35.56,,,
694,0.00,,,
695,0.00,,,
696,0.00,,,
697,0.00,,,
698,0.00,,,
699,0.00,,,
700,0.00,,,
701,1.13,,,
702,10.51,,,
703,5.85,,,
704,0.00,,,
705,0.00,,,
706,8.34,,,
707,52.55,,,
708,67.40,,,
709,41.69,,,
710,19.76,,,
711,36.73,,,
712,0.00,,,
713,20.60,,,
714,30.65,,,
715,11.68,,,
716,84.30,,,
717,2.81,,,
718,18.49,,,
719,6.75,,,
720,4.00,,,
721,4.53,,,
722,319.28,,,
723,0.00,,,
724,186.01,,,
725,11.46,,,
726,48.04,,,
727,11.33,,,
728,0.00,,,
729,0.00,,,
730,15.88,,,
731,17.71,,,
732,0.00,,,
733,0.50,,,
734,76.18,,,
735,0.00,,,
736,0.00,,,
737,26.59,,,
738,2.76,,,
739,60.61,,,
740,0.00,,,
741,57.73,,,
742,12.84,,,
743,23.34,,,
744,0.00,,,
745,0.58,,,
746,0.00,,,
747,465.01,,,
748,0.00,,,
749,0.00,,,
750,0.00,,,
751,0.00,,,
752,0.00,,,
753,48.85,,,
754,0.68,,,
755,0.00,,,
756,0.00,,,
757,0.00,,,
758,7.76,,,
759,0.00,,,
760,295.95,,,
761,55.98,,,
762,82.28,,,
763,503.44,,,
764,3.00,,,
765,34.98,,,
766,"1,507.74",,,
767,24.50,,,
768,0.00,,,
769,4.41,,,
770,0.00,,,
771,55.70,,,
772,14.40,,,
773,0.00,,,
774,14.69,,,
775,0.00,,,
776,2.00,,,
777,0.98,,,
778,9.74,,,
779,13.41,,,
780,11.73,,,
781,0.00,,,
782,73.61,,,
783,5.15,,,
784,5.11,,,
785,42.95,,,
786,0.00,,,
787,38.83,,,
788,2.78,,,
789,15.70,,,
790,14.60,,,
791,77.10,,,
792,0.00,,,
793,32.71,,,
794,6.80,,,
795,58.59,,,
796,0.00,,,
797,50.54,,,
798,45.58,,,
799,69.50,,,
800,0.00,,,
801,0.00,,,
802,53.91,,,
803,139.04,,,
804,0.00,,,
805,0.00,,,
806,0.00,,,
807,18.61,,,
808,0.00,,,
809,45.41,,,
810,2.36,,,
811,0.00,,,
812,0.00,,,
813,17.49,,,
814,0.00,,,
815,7.51,,,
816,0.00,,,
817,21.75,,,
818,0.00,,,
819,0.00,,,
820,0.00,,,
821,0.00,,,
822,0.78,,,
823,0.00,,,
824,0.00,,,
825,40.25,,,
826,18.29,,,
827,30.04,,,
828,0.56,,,
829,96.99,,,
830,51.69,,,
831,0.00,,,
832,19.20,,,
833,13.06,,,
834,5.10,,,
835,3.00,,,
836,9.43,,,
837,3.49,,,
838,20.60,,,
839,0.74,,,
840,30.89,,,
841,0.00,,,
842,4.99,,,
843,85.70,,,
844,0.00,,,
845,0.00,,,
846,20.34,,,
847,7.06,,,
848,42.05,,,
849,12.73,,,
850,59.74,,,
851,38.43,,,
852,13.08,,,
853,10.50,,,
854,13.10,,,
855,211.18,,,
856,0.00,,,
857,0.00,,,
858,0.00,,,
859,63.41,,,
860,4.24,,,
861,1.80,,,
862,0.00,,,
863,10.18,,,
864,48.09,,,
865,57.25,,,
866,189.01,,,
867,0.00,,,
868,241.26,,,
869,0.00,,,
870,0.00,,,
871,0.00,,,
872,0.00,,,
873,0.00,,,
874,0.00,,,
875,3.86,,,
876,11.98,,,
877,13.51,,,
878,1.16,,,
879,50.28,,,
880,1.73,,,
881,19.70,,,
882,201.96,,,
883,14.44,,,
884,20.46,,,
885,0.29,,,
886,34.80,,,
887,9.11,,,
888,10.71,,,
889,1.54,,,
890,99.44,,,
891,0.00,,,
892,12.09,,,
893,4.95,,,
894,0.00,,,
895,0.00,,,
896,0.00,,,
897,0.00,,,
898,14.23,,,
899,60.21,,,
900,9.10,,,
901,8.20,,,
902,70.49,,,
903,0.65,,,
904,0.00,,,
905,1.23,,,
906,178.04,,,
907,0.84,,,
908,2.79,,,
909,29.79,,,
910,1.99,,,
911,0.68,,,
912,10.98,,,
913,0.00,,,
914,0.00,,,
915,0.00,,,
916,0.00,,,
917,20.90,,,
918,35.56,,,
919,7.46,,,
920,0.00,,,
921,38.41,,,
922,3.58,,,
923,27.06,,,
924,0.25,,,
925,4.08,,,
926,15.59,,,
927,0.00,,,
928,0.00,,,
929,0.40,,,
930,51.00,,,
931,9.56,,,
932,153.88,,,
933,209.74,,,
934,0.00,,,
935,0.00,,,
936,15.40,,,
937,0.00,,,
938,0.00,,,
939,72.16,,,
940,46.10,,,
941,0.95,,,
942,0.00,,,
943,"1,454.13",,,
944,0.00,,,
945,257.54,,,
946,1.03,,,
947,1.93,,,
948,0.00,,,
949,27.28,,,
950,0.00,,,
951,0.00,,,
952,0.00,,,
953,0.00,,,
954,0.00,,,
955,26.06,,,
956,0.56,,,
957,42.99,,,
958,0.00,,,
959,5.55,,,
960,0.00,,,
961,42.35,,,
962,2.88,,,
963,3.40,,,
964,122.63,,,
965,21.85,,,
966,17.09,,,
967,0.00,,,
968,0.00,,,
969,26.90,,,
970,103.01,,,
971,0.00,,,
972,0.00,,,
973,0.00,,,
974,8.11,,,
975,0.00,,,
976,0.00,,,
977,0.00,,,
978,5.36,,,
979,77.55,,,
980,0.00,,,
981,204.60,,,
982,219.20,,,
983,35.00,,,
984,126.16,,,
985,1.80,,,
986,20.54,,,
987,0.00,,,
988,0.00,,,
989,62.70,,,
990,178.11,,,
991,1.05,,,
992,0.00,,,
993,0.00,,,
994,0.00,,,
995,145.50,,,
996,11.20,,,
997,0.00,,,
998,86.16,,,
999,0.00,,,
1000,1.14,,,
1001,4.40,,,
1002,0.00,,,
1003,0.00,,,
1004,3.80,,,
1005,0.30,,,
1006,18.48,,,
1007,0.00,,,
1008,0.00,,,
1009,187.41,,,
1010,1.50,,,
1011,24.31,,,
1012,2.19,,,
1013,11.01,,,
1014,7.15,,,
1015,2.28,,,
1016,1.73,,,
1017,0.00,,,
1018,55.24,,,
1019,0.00,,,
1020,36.18,,,
1021,0.00,,,
1022,0.00,,,
1023,65.63,,,
1024,7.71,,,
1025,0.00,,,
1026,0.00,,,
1027,0.00,,,
1028,6.00,,,
1029,57.14,,,
1030,35.26,,,
1031,0.00,,,
1032,7.08,,,
1033,0.00,,,
1034,24.98,,,
1035,16.61,,,
1036,0.00,,,
1037,116.13,,,
1038,37.33,,,
1039,26.01,,,
1040,22.06,,,
1041,16.45,,,
1042,16.30,,,
1043,116.94,,,
1044,19.31,,,
1045,21.18,,,
1046,118.91,,,
1047,0.00,,,
1048,18.96,,,
1049,0.00,,,
1050,114.69,,,
1051,22.23,,,
1052,1.95,,,
1053,0.00,,,
1054,0.00,,,
1055,0.00,,,
1056,0.00,,,
1057,9.21,,,
1058,0.00,,,
1059,0.00,,,
1060,28.53,,,
1061,0.00,,,
1062,1.56,,,
1063,0.00,,,
1064,64.93,,,
1065,0.00,,,
1066,0.00,,,
1067,4.83,,,
1068,0.38,,,
1069,191.43,,,
1070,99.34,,,
1071,330.19,,,
1072,164.35,,,
1073,361.79,,,
1074,223.21,,,
1075,130.38,,,
1076,0.00,,,
1077,0.00,,,
1078,5.75,,,
1079,8.29,,,
1080,12.66,,,
1081,"1,031.88",,,
1082,"1,539.43",,,
1083,3.75,,,
1084,13.24,,,
1085,24.34,,,
1086,155.98,,,
1087,"1,067.66",,,
1088,71.95,,,
1089,44.31,,,
1090,54.63,,,
1091,0.00,,,
1092,0.91,,,
1093,37.94,,,
1094,120.89,,,
1095,17.40,,,
1096,15.98,,,
1097,9.75,,,
1098,129.43,,,
1099,0.00,,,
1100,0.00,,,
1101,0.00,,,
1102,15.29,,,
1103,0.00,,,
1104,206.08,,,
1105,34.03,,,
1106,0.00,,,
1107,0.00,,,
1108,18.05,,,
1109,0.00,,,
1110,1.80,,,
1111,0.00,,,
1112,0.00,,,
1113,56.50,,,
1114,0.00,,,
1115,390.76,,,
1116,1.76,,,
1117,8.91,,,
1118,0.00,,,
1119,0.00,,,
1120,0.00,,,
1121,49.89,,,
1122,173.21,,,
1123,19.25,,,
1124,115.31,,,
1125,0.00,,,
1126,550.91,,,
1127,0.00,,,
1128,332.23,,,
1129,0.00,,,
1130,0.00,,,
1131,20.49,,,
1132,0.00,,,
1133,128.54,,,
1134,"1,469.59",,,
1135,32.31,,,
1136,169.50,,,
1137,0.00,,,
1138,4.83,,,
1139,70.33,,,
1140,29.98,,,
1141,142.73,,,
1142,91.86,,,
1143,94.76,,,
1144,64.90,,,
1145,173.26,,,
1146,95.05,,,
1147,18.99,,,
1148,0.00,,,
1149,1.24,,,
1150,49.89,,,
1151,830.53,,,
1152,296.19,,,
1153,151.55,,,
1154,12.13,,,
1155,0.00,,,
1156,177.58,,,
1157,1.38,,,
1158,183.54,,,
1159,95.18,,,
1160,0.00,,,
1161,80.08,,,
1162,2.85,,,
1163,53.08,,,
1164,13.50,,,
1165,18.70,,,
1166,0.00,,,
1167,3.74,,,
1168,0.00,,,
1169,0.00,,,
1170,0.00,,,
1171,423.76,,,
1172,48.91,,,
1173,27.10,,,
1174,95.45,,,
1175,0.99,,,
1176,74.68,,,
1177,25.00,,,
1178,56.83,,,
1179,10.60,,,
1180,0.00,,,
1181,2.84,,,
1182,10.71,,,
1183,0.00,,,
1184,0.00,,,
1185,24.10,,,
1186,10.40,,,
1187,63.71,,,
1188,11.60,,,
1189,10.06,,,
1190,57.44,,,
1191,36.55,,,
1192,111.73,,,
1193,0.00,,,
1194,0.00,,,
1195,0.00,,,
1196,112.43,,,
1197,23.04,,,
1198,0.00,,,
1199,0.00,,,
1200,7.39,,,
1201,38.91,,,
1202,3.40,,,
1203,64.51,,,
1204,9.21,,,
1205,3.96,,,
1206,23.49,,,
1207,0.00,,,
1208,8.73,,,
1209,7.29,,,
1210,34.19,,,
1211,15.25,,,
1212,1.56,,,
1213,4.30,,,
1214,0.00,,,
1215,8.15,,,
1216,3.29,,,
1217,58.64,,,
1218,164.93,,,
1219,7.66,,,
1220,0.00,,,
1221,0.00,,,
1222,79.93,,,
1223,3.90,,,
1224,42.56,,,
1225,50.65,,,
1226,21.71,,,
1227,19.36,,,
1228,45.19,,,
1229,0.00,,,
1230,0.00,,,
1231,2.46,,,
1232,368.28,,,
1233,49.51,,,
1234,0.00,,,
1235,0.33,,,
1236,88.38,,,
1237,83.53,,,
1238,409.06,,,
1239,1.29,,,
1240,2.70,,,
1241,0.00,,,
1242,18.94,,,
1243,0.00,,,
1244,54.31,,,
1245,35.76,,,
1246,0.00,,,
1247,13.36,,,
1248,7.71,,,
1249,12.54,,,
1250,299.33,,,
1251,0.00,,,
1252,208.33,,,
1253,126.28,,,
1254,457.83,,,
1255,31.40,,,
1256,0.00,,,
1257,9.88,,,
1258,0.00,,,
1259,0.89,,,
1260,0.00,,,
1261,18.69,,,
1262,84.19,,,
1263,0.00,,,
1264,88.24,,,
1265,66.74,,,
1266,255.91,,,
1267,61.95,,,
1268,0.00,,,
1269,0.00,,,
1270,0.00,,,
1271,0.00,,,
1272,0.00,,,
1273,0.00,,,
1274,0.00,,,
1275,0.00,,,
